Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22743742,"Colour of Magic (Disc world, #1)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,3.99,,ebook,198,,1983,,2024/03/21,to-read,to-read (#66),to-read,,,,0,0
4950,The Hungry Tide,Amitav Ghosh,"Ghosh, Amitav",,"=""061871166X""","=""9780618711666""",3,3.99,Harper Perennial,Paperback,333,2006,2004,2024/03/09,2024/02/04,,,read,,,,1,0
75496481,"Blood: The Science, Medicine, and Mythology of Menstruation",Jennifer Gunter,"Gunter, Jennifer",,"=""0806540680""","=""9780806540689""",0,4.17,Citadel,Hardcover,480,2024,2024,,2024/03/03,to-read,to-read (#65),to-read,,,,0,0
77262,Animal Dreams,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060921145""","=""9780060921149""",4,4.08,Harper Perennial,Paperback,342,1991,1990,2023/03/30,2023/01/17,,,read,,,,2,0
13526165,"Where'd You Go, Bernadette",Maria Semple,"Semple, Maria",,"=""0316204277""","=""9780316204279""",3,3.87,"Little, Brown and Company",Hardcover,330,2012,2012,2024/01/31,2024/01/27,,,read,,,,1,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2023/09/17,to-read,to-read (#64),to-read,,,,0,0
63241104,Tom Lake,Ann Patchett,"Patchett, Ann",,"=""006332752X""","=""9780063327528""",3,3.93,Harper,Hardcover,320,2023,2023,2024/01/20,2023/12/25,,,read," - had I known this was going to be partially set during covid, I would not have read. It was too heavy handed and didn’t really add anything to the story other than …. Family time?? Felt like a very shallow interpretation of what we were going through at that time and I really don’t see what it added to the story of Lara and duke <br/>- none of the characters were interesting …. Duke was irritating and I didn’t get a sense of the depth of his and Lara’s relationship. I don’t feel like I understood any of the characters’ personalities/motives, everyone seemed to have the same thoughts<br/>- lots of telling and not showing. come on!!<br/>- the orchard stuff could have been a cool way to add something interesting to the book but seemed like a relatively static background to the story. They picked cherries into lugs onto the gator a thousand times, which I understand is the monotony of the work but at least say something more interesting about it",,,1,0
61767292,"Icebreaker (UCMH, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",2,3.73,Pig & Bear Publishing,Kindle Edition,447,2022,2022,2023/12/26,2023/12/25,,,read,"Tolerable (until you realize it’s 400 pages for no reason) if you overlook:<br/>- far too many men in this book. Sabrina was supposed to be her bestie and yet they shared like 2 conversations and they were always about the boys ….I’m not even sure if this book passes the bechdel test<br/>- Aaron being overtly evil for no damn reason and anastasia continuing to want to live with him???!!!<br/>- also I think she would have actually died if she was eating so little while skating/lifting 6 days a week so that doesn’t add up <br/>- the paragraphs (and paragraphs) of telling not showing …. Come on girl remember high school English class <br/>- conveniently, all of the non white/non straight characters were side characters!<br/>- that godawful epilogue. Why is she pregnant at 23. Why do they have a dog. Why are they getting married. Why do all romance novels have to end with marriage and/or fertility<br/>- I don’t understand why this author chose to write about college kids in California (with the most Michigan ass midwestern name for a fictional UC) because the English slang/phrases in the characters’ speech and povs were jarring <br/>- Nathan driving a tesla<br/><br/>A few redeeming qualities <br/>- importance of consent!<br/>- anastasia finally screaming at Aaron and leaving him behind ……… 350 pages too late <br/>- the hockey team interactions w each other and the girls were cute",true,,1,0
77264,Homeland and Other Stories,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060917016""","=""9780060917012""",0,3.85,HarperPerennial,Paperback,245,2003,1989,,2023/12/25,to-read,to-read (#63),to-read,,,,0,0
62919732,Lady Tan’s Circle of Women,Lisa See,"See, Lisa",,"=""1982117087""","=""9781982117085""",0,4.35,Scribner,Hardcover,352,2023,2023,,2023/12/25,to-read,to-read (#62),to-read,,,,0,0
30868,"The Bean Trees (Greer Family, #1)",Barbara Kingsolver,"Kingsolver, Barbara",,"=""0812474945""","=""9780812474947""",4,4.02,Perfection Learning,Paperback,232,1989,1988,2023/12/16,2023/12/03,,,read,,,,2,0
58944475,Fierce Love: Creating a Love that Lasts―One Conversation at a Time,Susan Scott,"Scott, Susan",,"=""1713651521""","=""9781713651529""",5,4.28,Thomas Nelson on Brilliance Audio,Audio CD,0,2022,2022,2023/11/24,2023/02/26,,,read,,,,1,0
59054191,"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,"Hazelwood, Ali",,"=""1408726777""","=""9781408726778""",1,3.83,Sphere,Paperback,370,2023,2023,2023/11/13,2023/11/12,,,read,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",5,4.36,Ecco,Hardcover,360,2022,2022,2023/09/15,2023/01/11,,,read,,,,1,0
34325090,"I Was Born for This (I Was Born for This, #1)",Alice Oseman,"Oseman, Alice",,"=""0008244103""","=""9780008244101""",3,4.00,Harper Collins Children's Books,Kindle Edition,396,2018,2018,2023/09/13,2023/09/08,,,read,,,,1,0
60382883,"Drizzle, Dreams, and Lovestruck Things",Maya Prasad,"Prasad, Maya",,"=""1368075800""","=""9781368075800""",4,3.84,Disney Hyperion,Hardcover,464,2022,2022,2023/09/05,2023/09/04,,,read,,,,1,0
62926938,The Seven Year Slip,Ashley Poston,"Poston, Ashley",,"=""""","=""""",2,4.16,Berkley,Paperback,336,2023,2023,2023/08/28,2023/06/24,,,read,,,,1,0
58065372,In Love: A Memoir of Love and Loss,Amy Bloom,"Bloom, Amy",,"=""0593243943""","=""9780593243947""",4,4.26,Random House,Hardcover,240,2022,2022,2023/07/20,2022/05/20,,,read,,,,1,0
60510110,Fayne,Ann-Marie MacDonald,"MacDonald, Ann-Marie",,"=""0735276633""","=""9780735276635""",0,4.24,Knopf Canada,Hardcover,736,2022,2022,,2023/07/20,to-read,to-read (#61),to-read,,,,0,0
60018635,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,"=""059343935X""","=""9780593439357""",0,4.03,Berkley,Paperback,336,2022,2022,,2023/07/20,to-read,to-read (#60),to-read,,,,0,0
54911057,Fangs,Sarah Andersen,"Andersen, Sarah",,"=""""","=""""",0,4.21,Andrews McMeel Publishing,Kindle Edition,115,2020,2020,,2023/06/29,,,read,,,,1,0
61326735,"Love, Theoretically",Ali Hazelwood,"Hazelwood, Ali",,"=""1408725797""","=""9781408725795""",2,4.08,Sphere,Paperback,389,2023,2023,2023/06/20,2023/06/03,,,read,,,,1,0
8303977,The Sound of a Wild Snail Eating,Elisabeth Tova Bailey,"Bailey, Elisabeth Tova",,"=""1565126068""","=""9781565126060""",0,4.15,Algonquin Books,Hardcover,208,2010,2010,,2023/06/04,to-read,to-read (#59),to-read,,,,0,0
58502645,Unlikely Animals,Annie  Hartnett,"Hartnett, Annie",,"=""0593160223""","=""9780593160220""",5,4.06,Ballantine Books,Hardcover,348,2022,2022,2023/06/03,2023/06/01,,,read,,,,1,0
30304223,Rabbit Cake,Annie  Hartnett,"Hartnett, Annie",,"=""194104056X""","=""9781941040560""",0,3.97,Tin House,Paperback,332,2017,2017,,2023/06/02,to-read,to-read (#58),to-read,,,,0,0
25179,Blankets,Craig Thompson,"Thompson, Craig",,"=""1891830430""","=""9781891830433""",0,4.06,Top Shelf Productions,Paperback,582,2003,2003,,2023/06/01,to-read,to-read (#57),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",0,4.30,Modern Library,Paperback,279,2023,1813,2023/05/29,2022/04/18,,,read,,,,1,0
58437812,She Gets the Girl,Rachael Lippincott,"Lippincott, Rachael",Alyson Derrick,"=""1534493794""","=""9781534493797""",0,4.07,Simon & Schuster Books for Young Readers,Hardcover,384,2022,2022,,2023/05/29,to-read,to-read (#56),to-read,,,,0,0
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",3,4.07,Penguin Books,Paperback,368,2020,2017,2020/09/07,2020/08/23,,,read,,,,1,0
38300,A River Runs Through It,Norman Maclean,"Maclean, Norman",Barry Moser,"=""0226500608""","=""9780226500607""",0,4.15,University of Chicago Press,Hardcover,161,1989,1976,,2023/02/20,to-read,to-read (#55),to-read,,,,0,0
45449501,Sand Talk: How Indigenous Thinking Can Save the World,Tyson Yunkaporta,"Yunkaporta, Tyson",,"=""0062975633""","=""9780062975638""",0,4.35,HarperOne,Kindle Edition,256,2020,2019,,2023/05/15,to-read,to-read (#54),to-read,,,,0,0
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060786507""","=""9780060786502""",5,4.11,Harper Perennial Modern Classics,Paperback,546,2005,1998,2023/05/06,2022/12/26,,,read,,,,1,0
39872,Encyclopedia of an Ordinary Life,Amy Krouse Rosenthal,"Rosenthal, Amy Krouse",,"=""1400080460""","=""9781400080465""",0,3.95,Broadway Books,Paperback,240,2005,2005,,2023/04/24,to-read,to-read (#53),to-read,,,,0,0
58657073,How to Suffer Outside: A Beginner's Guide to Hiking and Backpacking,Diana Helmuth,"Helmuth, Diana",,"=""1680513125""","=""9781680513127""",4,4.42,Mountaineers Books,Kindle Edition,206,2021,2021,2023/04/22,2023/03/19,,,read,,,,1,0
40495957,"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,"Oseman, Alice",,"=""152722533X""","=""9781527225336""",5,4.41,Selfpublished,Paperback,288,2018,2018,2023/03/07,2023/03/06,,,read,,,,1,0
43307358,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,"Oseman, Alice",,"=""1444951408""","=""9781444951400""",5,4.51,Hodder Children's Books,Paperback,320,2019,2019,2023/03/07,2023/03/07,,,read,,,,1,0
43449920,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,"Oseman, Alice",,"=""""","=""""",5,4.54,Hodder Children's Books,Paperback,384,2020,2020,2023/03/07,2023/03/07,,,read,,,,1,0
56060300,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,"Oseman, Alice",,"=""1338617567""","=""9781338617566""",5,4.57,Graphix,Hardcover,384,2022,2021,2023/03/07,2023/03/07,,,read,,,,1,0
23235720,Call Me Captain: A Memoir of a Woman at Sea (Latitude 20 Books (Paperback)),Susan Scott,"Scott, Susan",,"=""0824839811""","=""9780824839819""",0,4.26,Latitude 20,Paperback,336,2014,2014,,2023/02/27,to-read,to-read (#52),to-read,,,,0,0
395220,Zami: A New Spelling of My Name,Audre Lorde,"Lorde, Audre",,"=""""","=""""",0,4.40,Crossing Press,Paperback,256,1982,1982,,2023/02/23,to-read,to-read (#51),to-read,,,,0,0
9250050,Mink River,Brian  Doyle,"Doyle, Brian",,"=""0870715852""","=""9780870715853""",0,4.17,Oregon State University Press,Paperback,319,2010,2010,,2023/02/20,to-read,to-read (#50),to-read,,,,0,0
671859,The Jump-Off Creek: A PEN/Faulkner Finalist – A Modern Western Classic of Survival in the American West,Molly Gloss,"Gloss, Molly",,"=""0618565876""","=""9780618565870""",0,3.91,Harper Perennial,Paperback,208,2005,1989,,2023/02/20,to-read,to-read (#49),to-read,,,,0,0
37805223,Midnight Chicken: & Other Recipes Worth Living For,Ella Risbridger,"Risbridger, Ella",,"=""1408867761""","=""9781408867761""",0,4.33,Bloomsbury Publishing,Hardcover,288,2019,2019,,2023/02/14,to-read,to-read (#48),to-read,,,,0,0
116297,Desert of the Heart,Jane Rule,"Rule, Jane",,"=""159493035X""","=""9781594930355""",0,3.90,Bella Books,Paperback,216,2005,1964,,2023/02/14,to-read,to-read (#47),to-read,,,,0,0
40725379,"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,"Kingsolver, Barbara","Steven L. Hopp, Camille Kingsolver, Lily Hopp Kingsolver","=""0062653075""","=""9780062653079""",3,4.05,Harper,Kindle Edition,383,2017,2007,2023/02/13,2023/01/05,,,read,,,,1,0
27276431,On Trails: An Exploration,Robert  Moor,"Moor, Robert",,"=""1476739218""","=""9781476739212""",0,3.95,Simon & Schuster,Hardcover,352,2016,2016,,2023/02/08,to-read,to-read (#46),to-read,,,,0,0
136977,The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chödrön,"Chödrön, Pema",,"=""1590304497""","=""9781590304495""",0,4.23,Shambhala,Paperback,187,2007,2001,2023/01/20,2022/08/04,,,read,,,,1,0
92625,The Ones Who Walk Away from Omelas,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0886825016""","=""9780886825010""",0,4.37,"Creative Education, Inc.",Library Binding,32,1997,1973,,2023/01/09,to-read,to-read (#44),to-read,,,,0,0
59069071,Ducks: Two Years in the Oil Sands,Kate Beaton,"Beaton, Kate",,"=""1770462899""","=""9781770462892""",0,4.39,Drawn and Quarterly,Hardcover,430,2022,2022,2022/12/24,2022/09/28,,,read,,,,1,0
45304101,The Great Believers,Rebecca Makkai,"Makkai, Rebecca",,"=""073522353X""","=""9780735223530""",4,4.30,Penguin Books,Paperback,421,2019,2018,2022/12/21,2022/12/18,,,read,,,,2,0
60665429,Thieves,Lucie Bryon,"Bryon, Lucie",,"=""""","=""""",0,4.19,Nobrow,Paperback,208,2022,2022,,2022/12/20,to-read,to-read (#43),to-read,,,,0,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408816032""","=""9781408816035""",0,4.30,Bloomsbury Publishing,Hardcover,352,2011,2011,2022/12/15,2021/12/20,,,read,,,,1,0
